MoleculeId,PredictedProbability
1,0.819030940470019
2,0.9579115598889095
3,0.4090054435242563
4,0.9370308984447334
5,0.02619317451823513
6,0.6244028837165572
7,0.8941087621128166
8,0.8335230482688459
9,0.9051017538119109
10,0.6281372346252242
11,0.15811926386127803
12,0.8515304395352002
13,0.7057900316121474
14,0.29804583994774064
15,0.1851347564933957
16,0.2747042166862863
17,0.11561476046357559
18,0.12467337309564318
19,0.38225117278386145
20,0.832285686680703
21,0.20244369539364507
22,0.9295767902112267
23,0.701297214143849
24,0.9070735610734654
25,0.9907943481642036
26,0.9304696137525579
27,0.09534205757104122
28,0.06023829418405381
29,0.09715839432854874
30,0.4472191353229867
31,0.15636893753922207
32,0.08775062003481063
33,0.8706516258795522
34,0.26567582733014206
35,0.411627268651954
36,0.895258096153192
37,0.8248228496204643
38,0.6763428940747863
39,0.9414886973215283
40,0.9895135941159691
41,0.3197635669810593
42,0.07296039868403055
43,0.8759183974903249
44,0.877273075894399
45,0.03166191100503733
46,0.2921961904628972
47,0.7857033011644944
48,0.49079195331461
49,0.8942343728916335
50,0.6736255983578538
51,0.9417336085285009
52,0.0761154677998
53,0.8291531539866495
54,0.0387173912799465
55,0.17498205203682743
56,0.7689033432965915
57,0.9418489345560407
58,0.9789722766783
59,0.9498934688478093
60,0.5126928339308731
61,0.750061118664753
62,0.9310964800482217
63,0.08146134687529723
64,0.06442737679618245
65,0.41023762777061523
66,0.40658661469912405
67,0.4115762428105612
68,0.07337365609397513
69,0.1373142337645901
70,0.2779847818576711
71,0.8608074793754575
72,0.5564259979588887
73,0.7995309329854952
74,0.9524878267136082
75,0.21531548524299313
76,0.14452369771258372
77,0.9536544582889912
78,0.3554893694992575
79,0.9402434240178716
80,0.11224955184444048
81,0.19944243460442154
82,0.39641636100569433
83,0.2903396468661134
84,0.30663245713444487
85,0.3457080789266356
86,0.6695457627251101
87,0.1395678133752193
88,0.6400605927570011
89,0.9065151679878504
90,0.516095257178892
91,0.5109888309477353
92,0.6718792876799464
93,0.06313073379950294
94,0.09038251184250269
95,0.7312491717392847
96,0.22130295133498334
97,0.7297117845194385
98,0.9552181166271505
99,0.9614412046980358
100,0.883860873737667
101,0.6420382705072217
102,0.8774458501677528
103,0.8694418131754699
104,0.6666471020875038
105,0.2615470235732293
106,0.2083968960772911
107,0.6301837044590337
108,0.4350331422094453
109,0.9494435590730524
110,0.04048885269726608
111,0.46709045859075016
112,0.9091273989077676
113,0.16350389544771582
114,0.8665673760965364
115,0.8858718185403848
116,0.1266274076216387
117,0.8782839959624523
118,0.07384734639865544
119,0.654296670139077
120,0.17218796741274822
121,0.18821232492019127
122,0.10418292701877026
123,0.8797246268456762
124,0.1704584620180582
125,0.38252129103829996
126,0.3724484464600976
127,0.5159683562411087
128,0.7088798204280042
129,0.31188054594523845
130,0.11487068646794253
131,0.03632535983573866
132,0.545627568259188
133,0.10671896595873033
134,0.7966200446966037
135,0.3772740244736471
136,0.9576366114216583
137,0.07860053333047824
138,0.7644286226222441
139,0.9006566058359818
140,0.6112527536594887
141,0.8098835893567465
142,0.9751125318044684
143,0.768590217005972
144,0.14763637381477693
145,0.8946389554337262
146,0.06474055637957445
147,0.6706026562220779
148,0.8533322647842392
149,0.668484343173652
150,0.2350219463485468
151,0.12677028442576657
152,0.7003997582213692
153,0.3287185905993773
154,0.9614481183589872
155,0.9331611266072399
156,0.6089744166605474
157,0.7160711487527819
158,0.8750639465730463
